year,country,energy_production,energy_consumption,co2_emission,balance,eficiency,co2_pc,energy_type
1992-01-01,Venezuela,0.072,0.001,0.447,0.071,6.199,0.0,4
1993-01-01,Venezuela,0.484,0.486,0.0,-0.002,0.0,0.0,0
1993-01-01,Venezuela,5.705,0.838,56.0,4.867,9.816,0.003,3
1993-01-01,Venezuela,0.971,0.971,48.242,0.0,49.7,0.002,2
1993-01-01,Venezuela,0.112,0.001,0.418,0.111,3.721,0.0,4
1994-01-01,Venezuela,0.524,0.526,0.0,-0.003,0.0,0.0,0
1994-01-01,Venezuela,6.019,0.863,55.0,5.156,9.138,0.003,3
1994-01-01,Venezuela,1.044,1.044,51.5,0.0,49.353,0.002,2
1994-01-01,Venezuela,0.126,0.001,0.441,0.125,3.504,0.0,4
1995-01-01,Venezuela,0.525,0.529,0.0,-0.004,0.0,0.0,0
1995-01-01,Venezuela,6.386,0.883,57.0,5.504,8.925,0.003,3
1995-01-01,Venezuela,1.06,1.06,55.365,0.0,52.219,0.003,2
1995-01-01,Venezuela,0.12,0.001,0.557,0.118,4.656,0.0,4
1996-01-01,Venezuela,0.551,0.555,0.0,-0.004,0.0,0.0,0
1996-01-01,Venezuela,6.827,0.872,61.0,5.955,8.935,0.003,3
1996-01-01,Venezuela,1.144,1.144,56.253,0.0,49.171,0.003,2
1996-01-01,Venezuela,0.107,0.001,0.611,0.106,5.709,0.0,4
1997-01-01,Venezuela,0.579,0.583,0.0,-0.004,0.0,0.0,0
1997-01-01,Venezuela,7.564,0.896,59.0,6.668,7.8,0.003,3
1997-01-01,Venezuela,1.184,1.184,60.699,0.0,51.284,0.003,2
1997-01-01,Venezuela,0.151,0.001,0.61,0.15,4.025,0.0,4
1998-01-01,Venezuela,0.585,0.587,0.0,-0.002,0.0,0.0,0
1998-01-01,Venezuela,7.314,0.903,59.0,6.411,8.067,0.003,3
1998-01-01,Venezuela,1.322,1.322,62.796,0.0,47.488,0.003,2
1998-01-01,Venezuela,0.219,0.002,0.574,0.218,2.615,0.0,4
1999-01-01,Venezuela,0.613,0.614,0.0,-0.001,0.0,0.0,0
1999-01-01,Venezuela,6.588,0.902,59.0,5.685,8.956,0.002,3
1999-01-01,Venezuela,1.126,1.126,70.161,0.0,62.289,0.003,2
1999-01-01,Venezuela,0.205,0.002,0.367,0.203,1.787,0.0,4
2000-01-01,Venezuela,0.634,0.637,0.0,-0.002,0.0,0.0,0
2000-01-01,Venezuela,7.353,0.949,61.0,6.404,8.296,0.003,3
2000-01-01,Venezuela,1.144,1.144,59.762,0.0,52.237,0.002,2
2000-01-01,Venezuela,0.232,0.002,0.319,0.23,1.377,0.0,4
2001-01-01,Venezuela,0.618,0.621,0.0,-0.002,0.0,0.0,0
2001-01-01,Venezuela,7.046,1.04,64.0,6.006,9.083,0.003,3
2001-01-01,Venezuela,1.334,1.334,60.699,0.0,45.511,0.002,2
2001-01-01,Venezuela,0.223,0.002,0.471,0.221,2.112,0.0,4
2002-01-01,Venezuela,0.6,0.602,0.0,-0.002,0.0,0.0,0
2002-01-01,Venezuela,6.14,1.057,71.0,5.083,11.564,0.003,3
2002-01-01,Venezuela,1.195,1.195,70.763,0.0,59.22,0.003,2
2002-01-01,Venezuela,0.217,0.002,0.457,0.215,2.107,0.0,4
2003-01-01,Venezuela,0.607,0.607,0.0,-0.0,0.0,0.0,0
2003-01-01,Venezuela,5.479,0.995,74.0,4.485,13.505,0.003,3
2003-01-01,Venezuela,1.026,1.026,63.399,0.0,61.776,0.002,2
2003-01-01,Venezuela,0.217,0.002,0.372,0.216,1.709,0.0,4
2004-01-01,Venezuela,0.695,0.695,0.0,0.0,0.0,0.0,0
2004-01-01,Venezuela,6.018,1.122,73.0,4.896,12.131,0.003,3
2004-01-01,Venezuela,1.144,1.144,54.45,0.0,47.595,0.002,2
2004-01-01,Venezuela,0.215,0.002,0.338,0.213,1.577,0.0,4
2005-01-01,Venezuela,0.764,0.764,0.0,0.001,0.0,0.0,0
2005-01-01,Venezuela,6.059,1.253,74.0,4.806,12.213,0.003,3
2005-01-01,Venezuela,0.986,0.986,60.699,0.0,61.557,0.002,2
2005-01-01,Venezuela,0.212,0.001,0.336,0.21,1.588,0.0,4
2006-01-01,Venezuela,0.801,0.801,0.0,0.001,0.0,0.0,0
2006-01-01,Venezuela,5.864,1.27,79.0,4.594,13.471,0.003,3
2006-01-01,Venezuela,1.094,1.094,52.317,0.0,47.841,0.002,2
2006-01-01,Venezuela,0.205,0.003,0.31,0.202,1.507,0.0,4
2007-01-01,Venezuela,0.813,0.813,0.0,0.0,0.0,0.0,0
2007-01-01,Venezuela,5.844,1.297,85.0,4.547,14.544,0.003,3
2007-01-01,Venezuela,0.872,0.876,58.021,-0.004,66.548,0.002,2
2007-01-01,Venezuela,0.179,0.005,0.476,0.174,2.653,0.0,4
2008-01-01,Venezuela,0.847,0.846,0.0,0.001,0.0,0.0,0
2008-01-01,Venezuela,5.905,1.454,79.36,4.45,13.44,0.003,3
2008-01-01,Venezuela,0.809,0.867,46.481,-0.058,57.456,0.002,2
2008-01-01,Venezuela,0.145,0.006,0.713,0.139,4.924,0.0,4
2009-01-01,Venezuela,0.831,0.83,0.0,0.0,0.0,0.0,0
2009-01-01,Venezuela,5.911,1.486,93.0,4.425,15.734,0.003,3
2009-01-01,Venezuela,0.719,0.789,46.025,-0.07,64.057,0.002,2
2009-01-01,Venezuela,0.11,0.007,0.637,0.103,5.808,0.0,4
2010-01-01,Venezuela,0.742,0.743,0.0,-0.001,0.0,0.0,0
2010-01-01,Venezuela,5.665,1.546,93.0,4.119,16.418,0.003,3
2010-01-01,Venezuela,0.757,0.813,41.847,-0.056,55.258,0.001,2
2010-01-01,Venezuela,0.093,0.008,0.742,0.085,7.958,0.0,4
2011-01-01,Venezuela,0.805,0.807,0.0,-0.002,0.0,0.0,0
2011-01-01,Venezuela,5.866,1.443,98.233,4.424,16.746,0.003,3
2011-01-01,Venezuela,0.797,0.878,43.125,-0.081,54.091,0.001,2
2011-01-01,Venezuela,0.077,0.008,0.799,0.069,10.396,0.0,4
2012-01-01,Venezuela,0.773,0.776,0.0,-0.003,0.0,0.0,0
2012-01-01,Venezuela,5.882,1.672,90.03,4.21,15.306,0.003,3
2012-01-01,Venezuela,0.872,0.943,46.598,-0.071,53.414,0.002,2
2012-01-01,Venezuela,0.056,0.008,0.881,0.048,15.659,0.0,4
2013-01-01,Venezuela,0.79,0.793,0.0,-0.003,0.0,0.0,0
2013-01-01,Venezuela,5.866,1.509,105.162,4.357,17.927,0.004,3
2013-01-01,Venezuela,0.838,0.907,50.034,-0.07,59.736,0.002,2
2013-01-01,Venezuela,0.046,0.008,0.939,0.037,20.514,0.0,4
2014-01-01,Venezuela,0.606,0.604,0.0,0.003,0.0,0.0,0
2014-01-01,Venezuela,5.866,1.536,95.554,4.331,16.289,0.003,3
2014-01-01,Venezuela,0.84,0.91,48.148,-0.071,57.33,0.002,2
2014-01-01,Venezuela,0.036,0.008,0.864,0.028,24.255,0.0,4
2015-01-01,Venezuela,0.692,0.689,0.0,0.003,0.0,0.0,0
2015-01-01,Venezuela,5.696,1.348,99.148,4.348,17.406,0.003,3
2015-01-01,Venezuela,0.998,1.017,48.305,-0.019,48.392,0.002,2
2015-01-01,Venezuela,0.025,0.005,0.794,0.02,31.655,0.0,4
2016-01-01,Venezuela,0.576,0.573,0.0,0.004,0.0,0.0,0
2016-01-01,Venezuela,5.166,1.41,91.602,3.755,17.732,0.003,3
2016-01-01,Venezuela,1.056,0.946,53.979,0.11,51.092,0.002,2
2016-01-01,Venezuela,0.023,0.005,0.543,0.018,23.779,0.0,4
2017-01-01,Venezuela,0.553,0.549,0.0,0.003,0.0,0.0,0
2017-01-01,Venezuela,4.565,1.278,93.005,3.286,20.375,0.003,3
2017-01-01,Venezuela,1.04,1.04,50.209,0.0,48.298,0.002,2
2017-01-01,Venezuela,0.018,0.003,0.453,0.014,25.501,0.0,4
2018-01-01,Venezuela,0.525,0.521,0.0,0.003,0.0,0.0,0
2018-01-01,Venezuela,3.396,1.163,84.943,2.233,25.015,0.003,3
2018-01-01,Venezuela,1.028,1.028,55.156,0.0,53.643,0.002,2
2018-01-01,Venezuela,0.013,0.001,0.339,0.011,26.768,0.0,4
2019-01-01,Venezuela,0.642,0.639,0.0,0.003,0.0,0.0,0
2019-01-01,Venezuela,2.027,0.936,76.805,1.09,37.899,0.003,3
2019-01-01,Venezuela,0.871,0.871,54.553,0.0,62.62,0.002,2
2019-01-01,Venezuela,0.012,0.001,0.127,0.011,10.587,0.0,4
1980-01-01,Iran,0.025,0.05,0.0,-0.025,0.0,0.0,4
1980-01-01,Iran,0.058,0.058,0.0,0.0,0.0,0.0,0
1980-01-01,Iran,3.596,1.25,0.0,2.346,0.0,0.0,3
1980-01-01,Iran,0.264,0.245,0.0,0.019,0.0,0.0,2
1981-01-01,Iran,0.025,0.042,4.661,-0.017,184.895,0.0,4
1981-01-01,Iran,0.064,0.064,0.0,0.0,0.0,0.0,0
1981-01-01,Iran,2.98,1.225,84.016,1.755,28.194,0.002,3
1981-01-01,Iran,0.222,0.164,12.998,0.058,58.615,0.0,2
1982-01-01,Iran,0.067,0.067,0.0,0.0,0.0,0.0,0
1982-01-01,Iran,4.772,1.394,82.0,3.378,17.183,0.002,3
1982-01-01,Iran,0.264,0.211,8.684,0.053,32.895,0.0,2
1982-01-01,Iran,0.028,0.056,3.892,-0.028,137.26,0.0,4
1983-01-01,Iran,0.065,0.065,0.0,0.0,0.0,0.0,0
1983-01-01,Iran,5.256,1.658,93.0,3.598,17.694,0.002,3
1983-01-01,Iran,0.327,0.327,11.206,0.0,34.23,0.0,2
1983-01-01,Iran,0.029,0.053,5.251,-0.024,183.188,0.0,4
1984-01-01,Iran,0.503,0.503,17.369,0.0,34.554,0.0,2
1984-01-01,Iran,0.065,0.065,0.0,0.0,0.0,0.0,0
1984-01-01,Iran,4.702,1.62,112.0,3.081,23.822,0.002,3
1984-01-01,Iran,0.029,0.041,4.955,-0.012,170.843,0.0,4
1985-01-01,Iran,0.031,0.04,3.832,-0.01,124.003,0.0,4
1985-01-01,Iran,0.634,0.634,26.669,0.0,42.092,0.001,2
1985-01-01,Iran,0.066,0.066,0.0,0.0,0.0,0.0,0
1985-01-01,Iran,4.852,1.669,109.0,3.184,22.463,0.002,3
1986-01-01,Iran,0.035,0.04,3.77,-0.005,106.859,0.0,4
1986-01-01,Iran,0.064,0.064,0.0,0.0,0.0,0.0,0
1986-01-01,Iran,4.397,1.753,112.0,2.644,25.471,0.002,3
1986-01-01,Iran,0.566,0.566,33.617,0.0,59.392,0.001,2
1987-01-01,Iran,0.597,0.597,30.031,0.0,50.333,0.001,2
1987-01-01,Iran,0.066,0.066,0.0,0.0,0.0,0.0,0
1987-01-01,Iran,4.971,1.83,123.0,3.141,24.746,0.002,3
1987-01-01,Iran,0.031,0.039,3.712,-0.008,120.217,0.0,4
1988-01-01,Iran,0.066,0.066,0.0,0.0,0.0,0.0,0
1988-01-01,Iran,4.859,1.849,130.0,3.01,26.754,0.002,3
1988-01-01,Iran,0.747,0.747,31.656,0.0,42.38,0.001,2
1988-01-01,Iran,0.03,0.04,3.65,-0.011,123.23,0.0,4
1989-01-01,Iran,0.03,0.03,3.769,0.001,124.654,0.0,4
1989-01-01,Iran,0.069,0.069,0.0,0.0,0.0,0.0,0
1989-01-01,Iran,6.082,2.039,130.0,4.043,21.376,0.002,3
1989-01-01,Iran,0.829,0.829,39.631,0.0,47.778,0.001,2
1990-01-01,Iran,0.032,0.03,2.764,0.002,86.01,0.0,4
1990-01-01,Iran,0.063,0.063,0.0,0.0,0.0,0.0,0
1990-01-01,Iran,6.692,2.111,145.0,4.581,21.668,0.003,3
1990-01-01,Iran,0.863,0.807,44.009,0.056,50.976,0.001,2
1991-01-01,Iran,0.024,0.044,2.83,-0.02,118.158,0.0,4
1991-01-01,Iran,0.073,0.073,0.0,0.0,0.0,0.0,0
1991-01-01,Iran,7.197,2.258,149.0,4.94,20.702,0.003,3
1991-01-01,Iran,0.96,0.848,42.837,0.112,44.626,0.001,2
1992-01-01,Iran,0.027,0.039,4.131,-0.012,152.225,0.0,4
1992-01-01,Iran,0.932,0.932,44.99,0.0,48.257,0.001,2
1992-01-01,Iran,0.098,0.098,0.0,0.0,0.0,0.0,0
1992-01-01,Iran,7.469,2.285,157.0,5.185,21.019,0.003,3
1993-01-01,Iran,0.032,0.046,3.657,-0.014,115.309,0.0,4
1993-01-01,Iran,0.1,0.1,0.0,0.001,0.0,0.0,0
1993-01-01,Iran,7.695,2.337,161.0,5.358,20.923,0.003,3
1993-01-01,Iran,1.01,0.991,49.466,0.019,48.999,0.001,2
1994-01-01,Iran,0.076,0.075,0.0,0.001,0.0,0.0,0
1994-01-01,Iran,7.863,2.363,166.0,5.5,21.112,0.003,3
1994-01-01,Iran,1.186,1.186,52.572,0.0,44.331,0.001,2
1994-01-01,Iran,0.031,0.046,4.3,-0.015,138.249,0.0,4
1995-01-01,Iran,0.032,0.043,4.322,-0.012,136.248,0.0,4
1995-01-01,Iran,1.316,1.313,62.92,0.004,47.797,0.001,2
1995-01-01,Iran,0.074,0.074,0.0,0.001,0.0,0.0,0
1995-01-01,Iran,7.925,2.386,167.0,5.539,21.073,0.003,3
1996-01-01,Iran,0.031,0.045,4.041,-0.014,129.913,0.0,4
1996-01-01,Iran,0.076,0.074,0.0,0.001,0.0,0.0,0
1996-01-01,Iran,8.038,2.342,167.0,5.697,20.776,0.003,3
1996-01-01,Iran,1.5,1.451,69.647,0.049,46.446,0.001,2
1997-01-01,Iran,1.753,1.756,76.968,-0.004,43.913,0.001,2
1997-01-01,Iran,0.07,0.071,0.0,-0.001,0.0,0.0,0
1997-01-01,Iran,7.986,2.551,157.0,5.435,19.66,0.002,3
1997-01-01,Iran,0.034,0.046,4.24,-0.013,125.289,0.0,4
1998-01-01,Iran,0.071,0.074,0.0,-0.003,0.0,0.0,0
1998-01-01,Iran,7.928,2.527,173.0,5.401,21.82,0.003,3
1998-01-01,Iran,1.865,1.93,93.193,-0.065,49.979,0.001,2
1998-01-01,Iran,0.034,0.048,4.696,-0.013,136.52,0.0,4
1999-01-01,Iran,2.156,2.23,102.394,-0.075,47.503,0.002,2
1999-01-01,Iran,0.051,0.054,0.0,-0.003,0.0,0.0,0
1999-01-01,Iran,7.764,2.276,169.0,5.488,21.768,0.003,3
1999-01-01,Iran,0.029,0.049,5.077,-0.02,174.741,0.0,4
2000-01-01,Iran,0.032,0.049,5.271,-0.017,164.274,0.0,4
2000-01-01,Iran,2.247,2.345,118.322,-0.099,52.669,0.002,2
2000-01-01,Iran,0.037,0.042,0.0,-0.005,0.0,0.0,0
2000-01-01,Iran,8.085,2.708,175.0,5.377,21.645,0.003,3
2001-01-01,Iran,0.031,0.049,5.419,-0.018,174.15,0.0,4
2001-01-01,Iran,0.052,0.059,0.0,-0.006,0.0,0.0,0
2001-01-01,Iran,8.13,2.851,173.0,5.279,21.28,0.003,3
2001-01-01,Iran,2.461,2.617,124.436,-0.156,50.557,0.002,2
2002-01-01,Iran,2.797,2.955,138.86,-0.158,49.647,0.002,2
2002-01-01,Iran,0.082,0.088,0.0,-0.007,0.0,0.0,0
2002-01-01,Iran,7.539,2.823,178.0,4.716,23.611,0.003,3
2002-01-01,Iran,0.029,0.048,5.397,-0.019,187.346,0.0,4
2003-01-01,Iran,0.032,0.048,5.153,-0.016,161.413,0.0,4
2003-01-01,Iran,0.112,0.123,0.0,-0.012,0.0,0.0,0
2003-01-01,Iran,8.194,2.908,189.0,5.286,23.064,0.003,3
2003-01-01,Iran,3.021,3.073,156.766,-0.052,51.897,0.002,2
2004-01-01,Iran,0.034,0.049,5.561,-0.015,162.614,0.0,4
2004-01-01,Iran,0.106,0.119,0.0,-0.013,0.0,0.0,0
2004-01-01,Iran,8.79,3.063,197.0,5.727,22.411,0.003,3
2004-01-01,Iran,3.129,3.19,163.039,-0.061,52.108,0.002,2
2005-01-01,Iran,0.038,0.05,5.957,-0.012,157.14,0.0,4
2005-01-01,Iran,3.86,3.915,169.251,-0.055,43.85,0.002,2
2005-01-01,Iran,0.16,0.178,0.0,-0.018,0.0,0.0,0
2005-01-01,Iran,9.056,3.203,211.0,5.853,23.3,0.003,3
2006-01-01,Iran,0.037,0.046,6.952,-0.009,187.312,0.0,4
2006-01-01,Iran,0.181,0.198,0.0,-0.017,0.0,0.0,0
2006-01-01,Iran,8.851,3.447,215.0,5.403,24.292,0.003,3
2006-01-01,Iran,4.05,4.054,207.716,-0.004,51.283,0.003,2
2007-01-01,Iran,4.173,4.216,215.096,-0.043,51.544,0.003,2
2007-01-01,Iran,0.177,0.192,0.0,-0.014,0.0,0.0,0
2007-01-01,Iran,8.603,3.564,227.0,5.04,26.385,0.003,3
2007-01-01,Iran,0.04,0.047,6.354,-0.007,158.484,0.0,4
2008-01-01,Iran,0.051,0.062,0.0,-0.011,0.0,0.0,0
2008-01-01,Iran,8.929,3.6,220.3,5.328,24.673,0.003,3
2008-01-01,Iran,4.337,4.449,223.664,-0.112,51.569,0.003,2
2008-01-01,Iran,0.039,0.04,6.294,-0.002,161.897,0.0,4
2009-01-01,Iran,5.266,5.273,236.03,-0.008,44.825,0.003,2
2009-01-01,Iran,0.073,0.079,0.0,-0.006,0.0,0.0,0
2009-01-01,Iran,8.892,3.73,239.0,5.162,26.878,0.003,3
2009-01-01,Iran,0.032,0.032,5.858,0.0,182.148,0.0,4
2010-01-01,Iran,0.03,0.031,5.298,-0.001,174.339,0.0,4
2010-01-01,Iran,5.45,5.392,279.777,0.059,51.332,0.004,2
2010-01-01,Iran,0.094,0.107,0.0,-0.012,0.0,0.0,0
2010-01-01,Iran,9.08,3.503,249.0,5.577,27.424,0.003,3
2011-01-01,Iran,0.032,0.033,5.814,-0.0,178.984,0.0,4
2011-01-01,Iran,0.119,0.128,0.0,-0.009,0.0,0.0,0
2011-01-01,Iran,0.001,0.001,0.0,0.0,0.0,0.0,1
2011-01-01,Iran,9.054,3.342,245.0,5.712,27.06,0.003,3
2011-01-01,Iran,5.661,5.724,286.069,-0.063,50.533,0.004,2
2012-01-01,Iran,5.956,5.791,303.721,0.164,50.997,0.004,2
2012-01-01,Iran,0.12,0.123,0.0,-0.003,0.0,0.0,0
2012-01-01,Iran,0.014,0.014,0.0,0.0,0.0,0.0,1
2012-01-01,Iran,7.633,3.659,252.125,3.974,33.031,0.003,3
2012-01-01,Iran,0.029,0.026,6.127,0.003,210.999,0.0,4
2013-01-01,Iran,0.142,0.141,0.0,0.001,0.0,0.0,0
2013-01-01,Iran,0.04,0.04,0.0,0.0,0.0,0.0,1
2013-01-01,Iran,7.072,3.725,271.345,3.347,38.37,0.004,3
2013-01-01,Iran,6.015,5.88,307.26,0.135,51.08,0.004,2
2013-01-01,Iran,0.031,0.031,5.627,-0.001,182.489,0.0,4
2014-01-01,Iran,0.03,0.032,5.904,-0.002,197.312,0.0,4
2014-01-01,Iran,0.135,0.131,0.0,0.004,0.0,0.0,0
2014-01-01,Iran,0.039,0.039,0.0,0.0,0.0,0.0,1
2014-01-01,Iran,7.346,3.745,267.518,3.602,36.417,0.003,3
2014-01-01,Iran,6.507,6.471,311.97,0.036,47.941,0.004,2
2015-01-01,Iran,6.892,6.935,343.343,-0.044,49.82,0.004,2
2015-01-01,Iran,0.133,0.131,0.0,0.002,0.0,0.0,0
2015-01-01,Iran,0.033,0.033,0.0,0.0,0.0,0.0,1
2015-01-01,Iran,7.482,3.521,267.784,3.961,35.789,0.003,3
2015-01-01,Iran,0.034,0.035,4.841,-0.002,143.789,0.0,4
2016-01-01,Iran,0.037,0.039,4.173,-0.002,111.965,0.0,4
2016-01-01,Iran,0.153,0.147,0.0,0.006,0.0,0.0,0
2016-01-01,Iran,0.061,0.061,0.0,0.0,0.0,0.0,1
2016-01-01,Iran,9.391,3.223,240.998,6.168,25.662,0.003,3
2016-01-01,Iran,7.479,7.407,367.97,0.072,49.198,0.005,2
2017-01-01,Iran,0.044,0.044,3.934,0.001,89.313,0.0,4
2017-01-01,Iran,0.141,0.13,0.0,0.012,0.0,0.0,0
2017-01-01,Iran,0.066,0.066,0.0,0.0,0.0,0.0,1
2017-01-01,Iran,10.048,3.429,193.341,6.619,19.241,0.002,3
2017-01-01,Iran,8.001,7.715,393.008,0.286,49.119,0.005,2
2018-01-01,Iran,0.048,0.046,4.427,0.001,92.568,0.0,4
2018-01-01,Iran,0.15,0.145,0.0,0.005,0.0,0.0,0
2018-01-01,Iran,0.065,0.065,0.0,0.0,0.0,0.0,1
2018-01-01,Iran,9.588,3.54,202.013,6.047,21.07,0.002,3
2018-01-01,Iran,8.604,8.091,409.357,0.514,47.577,0.005,2
2019-01-01,Iran,0.277,0.27,0.0,0.007,0.0,0.0,0
2019-01-01,Iran,0.061,0.061,0.0,0.0,0.0,0.0,1
2019-01-01,Iran,6.816,3.454,208.487,3.362,30.59,0.003,3
2019-01-01,Iran,8.859,8.231,429.262,0.629,48.454,0.005,2
2019-01-01,Iran,0.042,0.048,5.216,-0.006,123.326,0.0,4
1980-01-01,Russia,0.833,0.833,0.0,0.0,0.0,0.0,1
1980-01-01,Russia,25.625,19.118,0.0,6.507,0.0,0.0,3
1980-01-01,Russia,15.985,13.861,0.0,2.124,0.0,0.0,2
1980-01-01,Russia,17.153,15.91,0.0,1.243,0.0,0.0,4
1980-01-01,Russia,1.912,1.849,0.0,0.063,0.0,0.0,0
1981-01-01,Russia,0.735,0.735,0.0,0.0,0.0,0.0,1
1981-01-01,Russia,25.887,18.938,1275.361,6.949,49.266,0.266,3
1981-01-01,Russia,16.414,14.426,735.425,1.988,44.806,0.153,2
1981-01-01,Russia,16.865,14.988,1505.099,1.877,89.243,0.313,4
1981-01-01,Russia,1.934,1.864,0.0,0.07,0.0,0.0,0
1982-01-01,Russia,26.043,19.235,1270.0,6.807,48.766,0.034,3
1982-01-01,Russia,17.662,15.506,765.372,2.156,43.334,0.021,2
1982-01-01,Russia,17.2,15.016,1417.928,2.184,82.435,0.038,4
1982-01-01,Russia,1.123,1.123,0.0,0.0,0.0,0.0,1
1982-01-01,Russia,1.834,1.762,0.0,0.072,0.0,0.0,0
1983-01-01,Russia,26.194,18.97,1290.0,7.223,49.249,0.034,3
1983-01-01,Russia,18.908,16.805,822.722,2.103,43.512,0.022,2
1983-01-01,Russia,17.153,14.956,1420.503,2.196,82.816,0.037,4
1983-01-01,Russia,1.252,1.252,0.0,0.0,0.0,0.0,1
1983-01-01,Russia,1.896,1.817,0.0,0.078,0.0,0.0,0
1984-01-01,Russia,1.625,1.625,0.0,0.0,0.0,0.0,1
1984-01-01,Russia,26.042,18.937,1269.0,7.105,48.73,0.26,3
1984-01-01,Russia,21.408,19.104,891.627,2.303,41.65,0.183,2
1984-01-01,Russia,17.057,14.817,1414.822,2.24,82.948,0.29,4
1984-01-01,Russia,2.121,2.04,0.0,0.081,0.0,0.0,0
1985-01-01,Russia,2.142,2.044,0.0,0.098,0.0,0.0,0
1985-01-01,Russia,1.949,1.949,0.0,0.0,0.0,0.0,1
1985-01-01,Russia,25.393,18.97,1269.0,6.423,49.974,0.031,3
1985-01-01,Russia,23.434,20.952,1013.615,2.482,43.255,0.025,2
1985-01-01,Russia,17.392,14.616,1401.604,2.776,80.588,0.034,4
1986-01-01,Russia,26.195,19.025,1275.0,7.17,48.673,0.03,3
1986-01-01,Russia,24.824,22.082,1111.625,2.742,44.78,0.026,2
1986-01-01,Russia,17.991,14.818,1382.685,3.173,76.854,0.033,4
1986-01-01,Russia,1.745,1.745,0.0,0.0,0.0,0.0,1
1986-01-01,Russia,2.23,2.132,0.0,0.098,0.0,0.0,0
